geom,name,osm_id,uic_ref
0101000020110F00001C424B66C16A2B4187294ED131E95641,Brauerei,32701954,8590208
0101000020110F00008D592683AE5D2B4161A7FBDFCAE85641,Herzogplatz,32702009,8590146
0101000020110F00002C1EE110EDCC2B41FEE5AF75FAF25641,"Scherz, Rüchlig",32707488,8502969
0101000020110F0000357814A46CCF2B417939EC16C6F45641,Habsburg Dorfplatz,32707631,8502951
0101000020110F0000C725A61FC6BC2F41BBF33EEA95CA5641,Wildhaus (Oberdorf),32846313,8530486
0101000020110F000087F457F95FBA2F4129C3371561C65641,Gamsalp (Oberdorf),32846510,8530488
0101000020110F000081C9AAC1785E2D4140ADEF08C0195741,"Feuerthalen, Bahnhof",33043696,8580596
0101000020110F00002117D665115F2D4177FA31C880EC5641,Wangen Dorfplatz,33210808,8590901
0101000020110F0000F0E1E7142A912E415EF05FB3F49E5641,Linthal,33232601,8503239
0101000020110F000072F9F5D29AC62E412D907F3C8FA85641,Nidfurn-Haslen,33232602,8503234
0101000020110F00003C068029F3A32D41F47A550207CA5641,Wollerau,33486844,8503288
0101000020110F0000E9CED0461B2F3041DCA6D0AE48935641,Post 1,33832979,8571313
0101000020110F000089C0D3160B042D419839BA9EEFD85641,Langnau a.A. Dorf,33980285,8573160
0101000020110F00007A8B9C5B3E102D413FAF45A066D85641,Gattikerhöhe,33980322,8573163
0101000020110F00009468291701122D41682AD6F6D8D85641,Ebnet,33980329,8503791
0101000020110F00002772466293A42C4131ED799399C15641,Rotkreuz Bahnhof Nord,34023155,8588626
0101000020110F0000C7DBEBAC1D462A41D363D52CE7F85641,Liestal Elektra,34076853,8589419
0101000020110F0000C3A131D929912D4163E27F0DDAD35641,Auf Dorf,34091393,8503187
0101000020110F000065D8E53358632D41882923B584D55641,Beugen,34095674,8576082
0101000020110F000090378D48158E2D41F2235F301CD45641,Boldernstrasse,34097651,8576089
0101000020110F00005A951597E9852D416B18205E73D45641,Im Russer,34097668,8588734
0101000020110F0000F04D48F513FA2C414CF2A8C2D4E15641,Morgental,34181016,8591279
0101000020110F00008B4A48B06C8C2D4144B0E64E3CD35641,Kirchweg,34184690,8576028
0101000020110F00001170AEA80B522A41DEE13D71C5FE5641,"Giebenach, Lindenplatz",34690597,8572240
0101000020110F00003A2D4AEC9C842D41806F99E32FD35641,Männedorf ZSG,34772310,8503664
0101000020110F00001C633C9938992D417E28ACE580EC5641,Wingert,35120230,8575925
0101000020110F0000CE130AB44EC22441AE0B98D5202F5641,Balexert,35416998,8593141
0101000020110F00007F89372E16DD244113EE261A882F5641,Collège Sismondi,35420048,8592905
0101000020110F000022019A7D11622E416DFC0C84BFCE5641,Schmerikon,35466058,8503115
0101000020110F0000755DF4C6C8E52D41B949128F04CD5641,Hurden,35676831,8503299
0101000020110F0000B30A4154867F2D412578A12803D55641,Kleindorf,35830132,8503363
0101000020110F0000D536E33D19832D41077CBA26BBD45641,Büelen,35830139,8576087
0101000020110F000032B02F59BA772D41B2384A5D62D55641,Grossdorf,35830458,8576086
0101000020110F0000DE9A1EEAE45E2D41600D585E53D65641,Hallenbad,35830686,8588023
0101000020110F0000BAEE2119307D2D4118E2ADDB7CD85641,Vorderer Pfannenstiel,35831082,8588033
0101000020110F0000ACF6196E511A2D4157C52DD700E55641,Klusplatz,36168113,8591233
0101000020110F0000F7729D7838212D41F96B8AC27FE65641,Bergstation Dolderbahn,36258964,8503084
0101000020110F0000BAF844A8EDD42941FA16B7270DF95641,Neu Reinach,36302900,8578221
0101000020110F00007DDF8053BB822441AC32E0FA732E5641,Satigny,36464618,8501003
0101000020110F000021F325F60CD42441D45D91217D2A5641,Pictet-Thellusson,36663771,8592842
0101000020110F0000AED4956F1E882E41ECFBB0C43ECF5641,Sankt Otmarsberg,36721375,8573842
0101000020110F000033C692F285BB2D416722D61FA4FF5641,Reutlingen,37110427,8506036
0101000020110F0000448576F66F762E41A891138171CF5641,Sankt Josef,39768439,8573854
0101000020110F0000F868DD5A7D772C4151FF92F5E6B15641,Meggen SGV,39861977,8508484
0101000020110F0000303EB068B0E42B419CD34626727D5641,Lammi,40130881,8571583
0101000020110F00003CDE2B9C99D42B41F841076FB07C5641,Schwendiwald,40250443,8571586
0101000020110F000022C3338C5EA82B41C14AE4A7A3775641,Broch,40251352,8571591
0101000020110F000025C6A09B0CA22B41A265AE8F4E775641,Schwarzwaldalp,40251430,8508788
0101000020110F0000DA9C86B10CF52B41B638D4E2067C5641,Innertkirchen Grimseltor,40251484,8508395
0101000020110F0000126F87A7E4D02B4164BE99618F935641,Camping International Giswil,40797907,8530817
0101000020110F0000CAF17FAEFE8B2F41413EA4EA00E45641,Waldstatt,41141842,8506281
0101000020110F00007FD31F8AEFB02F415E175E73FBDD5641,Jakobsbad Bahnhof,41147989,8506284
0101000020110F0000B21889D04DB02F413932DD396BD95641,Kronberg Bergstation,41154838,8506265
0101000020110F00008DF200E5854F2A41F736AB7122F75641,Altmarkt,41268735,8500081
0101000020110F0000A221040CB04C2A41B2C6BF7862F45641,Bubendorf,41269321,8500082
0101000020110F0000A4AA893AE2532A416684590413F35641,Talhaus,41269449,8500080
0101000020110F00002B3103BB75662A41461FD96F32EF5641,Hölstein,41270278,8500084
0101000020110F0000C1127CBA88632A414F6DE3B47EEE5641,Hölstein Süd,41270486,8500092
0101000020110F0000C468EF21A5582A41984CDEB270EC5641,Hirschlang,41270679,8500094
0101000020110F00004EA3EC7319532A41938B8F078CE95641,Oberdorf BL,41270803,8500086
0101000020110F0000B61A84CAA9D12C41D9069DBD96ED5641,Grünwald,47039322,8576242
0101000020110F00005D011E9DFA082E41E89DA0E0437B5641,Disentis 3000,47722908,8530573
0101000020110F0000A1C4DA4225F52C414F4E781B3FE65641,Bahnhof Wiedikon,48932886,8573710
0101000020110F0000243C600746BC2E417D51D95527175741,Mannenbach,52177312,8506160
0101000020110F00008787989465A425417781A9E4137D5641,Vallorbe,52208883,8501103
0101000020110F00003055FC5995BE25417B61BF11DB7D5641,Le Day,52220985,8501104
0101000020110F00007F15BFC459A72F41DFF683F9C8D35641,Talstation Schwägalp,53835775,8506268
0101000020110F0000AF7AB57D6DBC2F41091B096A9BD25641,Bergstation Säntisgipfel,53835778,8506269
0101000020110F000082C5AB7A1AAA2A41283137F583C85641,Melchnau,54592974,8166
0101000020110F000080B7D99DCD672E410E9A301EEECE5641,Lanzenmoosstrasse,56391466,8573857
0101000020110F00005B17E9DD65672E4195755FCEF1CE5641,Lanzenmoosstrasse,56391470,8573857
0101000020110F0000BCA26808F8142E41BBC511B505145741,Stein am Rhein,56879843,8506139
0101000020110F00006B0EA0142E8B2E4155ADC42F19A15641,Talstation Hüttenberg,57476518,8503645
0101000020110F0000E2D28C6A7CD12E41AB0C29CD31B15641,Glarus,57476693,8503230
0101000020110F0000BD6397F728D62E41A922497F0CB05641,Ennenda,57476712,8503231
0101000020110F0000F759A5EDC9D92E41E3F4A3FB66AC5641,Mitlödi,57476772,8503232
